# elapsed time, f3_acc_x, f3_acc_y, f3_acc_z, f3_gyro_x, f3_gyro_y, f3_gyro_z
7.496310710906982422e+00,-2.394201699644327164e-03,1.127668976783752441e+00,-1.055364131927490234e+01,-3.509521484375000000e+00,-3.128051757812500000e-01,5.798339843750000000e-01
7.512002944946289062e+00,3.591302409768105247e-02,1.125274777412414551e+00,-1.055364131927490234e+01,-3.479003906250000000e+00,-1.678466796875000000e-01,3.890991210937500000e-01
7.523161411285400391e+00,3.591302409768105247e-02,1.118092179298400879e+00,-1.052969932556152344e+01,-3.509521484375000000e+00,-1.678466796875000000e-01,3.890991210937500000e-01
7.538451433181762695e+00,2.154781483113765717e-02,1.125274777412414551e+00,-1.051054573059082031e+01,-3.517150878906250000e+00,-4.882812500000000000e-01,4.501342773437500000e-01
7.553881645202636719e+00,-2.394201699644327164e-03,1.177947163581847922e+00,-1.042674827575683594e+01,-3.517150878906250000e+00,-4.882812500000000000e-01,4.501342773437500000e-01
7.565564870834350586e+00,-2.394201699644327164e-03,1.185129880905151367e+00,-1.051054573059082031e+01,-3.356933593750000000e+00,-2.593994140625000000e-01,4.501342773437500000e-01
7.581052541732788086e+00,5.985504016280173561e-02,1.177947163581847922e+00,-1.052251625061035156e+01,-3.234863281250000000e+00,-8.392333984375000000e-02,3.890991210937500000e-01
7.592581987380981445e+00,5.985504016280173561e-02,1.137245774269104004e+00,-1.054885292053222656e+01,-3.234863281250000000e+00,-2.593994140625000000e-01,5.416870117187500000e-01
7.607824802398681641e+00,4.788403399288654327e-03,1.118092179298400879e+00,-1.052251625061035156e+01,-3.356933593750000000e+00,-1.373291015625000000e-01,6.713867187500000000e-01
7.620155096054077148e+00,4.788403399288654327e-03,1.118092179298400879e+00,-1.049139213562011719e+01,-3.356933593750000000e+00,-1.373291015625000000e-01,6.713867187500000000e-01
7.634215593338012695e+00,2.633621916174888611e-02,1.122880578041076882e+00,-1.046984386444091797e+01,-3.341674804687500000e+00,-2.288818359375000000e-02,5.798339843750000000e-01
7.649760961532592773e+00,2.633621916174888611e-02,1.122880578041076882e+00,-1.046984386444091797e+01,-3.341674804687500000e+00,-2.288818359375000000e-02,5.722045898437500000e-01
7.661756038665771484e+00,6.464344263076782227e-02,1.115697979927062988e+00,-1.048660373687743963e+01,-3.395080566406250000e+00,-2.365112304687500000e-01,5.722045898437500000e-01
7.677308320999145508e+00,2.154781483113765717e-02,1.115697979927062988e+00,-1.053927612304687678e+01,-3.440856933593750000e+00,-2.365112304687500000e-01,5.035400390625000000e-01
7.687968492507934570e+00,2.394201699644327164e-03,1.103726983070373535e+00,-1.053927612304687678e+01,-3.440856933593750000e+00,-1.831054687500000000e-01,4.959106445312500000e-01
7.705643177032470703e+00,2.394201699644327164e-03,1.094150185585021973e+00,-1.050336265563964844e+01,-3.440856933593750000e+00,5.340576171875000000e-02,4.959106445312500000e-01
7.718595266342163086e+00,2.154781483113765717e-02,1.070208191871642844e+00,-1.048660373687743963e+01,-3.425598144531250000e+00,5.340576171875000000e-02,4.959106445312500000e-01
7.730299472808837891e+00,2.154781483113765717e-02,1.070208191871642844e+00,-1.048660373687743963e+01,-3.425598144531250000e+00,-1.983642578125000000e-01,5.798339843750000000e-01
7.747570753097534180e+00,3.351882472634315491e-02,1.134851574897765891e+00,-1.052730464935302734e+01,-3.334045410156250000e+00,-1.983642578125000000e-01,5.798339843750000000e-01
7.758084297180175781e+00,3.351882472634315491e-02,1.134851574897765891e+00,-1.052730464935302734e+01,-3.334045410156250000e+00,-1.983642578125000000e-01,5.798339843750000000e-01
7.772328138351440430e+00,5.506663769483566284e-02,1.134851574897765891e+00,-1.050336265563964844e+01,-3.364562988281250000e+00,-1.983642578125000000e-01,3.814697265625000000e-01
7.786835670471191406e+00,5.506663769483566284e-02,1.156399369239807129e+00,-1.050336265563964844e+01,-3.425598144531250000e+00,-2.059936523437500000e-01,5.798339843750000000e-01
7.799462318420410156e+00,4.788403399288654327e-03,1.168370366096496582e+00,-1.050815105438232422e+01,-3.509521484375000000e+00,-4.043579101562500000e-01,6.790161132812500000e-01
7.814743280410766602e+00,-5.027823522686958313e-02,1.156399369239807129e+00,-1.050815105438232422e+01,-3.433227539062500000e+00,-4.043579101562500000e-01,6.790161132812500000e-01
7.828994512557983398e+00,4.788403399288654327e-03,1.156399369239807129e+00,-1.049857425689697266e+01,-3.509521484375000000e+00,-2.670288085937500000e-01,6.637573242187500000e-01
7.841166019439697266e+00,6.943184882402420044e-02,1.134851574897765891e+00,-1.049857425689697266e+01,-3.433227539062500000e+00,-2.670288085937500000e-01,6.561279296875000000e-01
7.855389595031738281e+00,6.943184882402420044e-02,1.134851574897765891e+00,-1.047942066192626953e+01,-3.379821777343750000e+00,-3.280639648437500000e-01,6.561279296875000000e-01
7.983565568923950195e+00,6.943184882402420044e-02,1.115697979927062988e+00,-1.055124664306640625e+01,-3.250122070312500000e+00,-3.280639648437500000e-01,6.561279296875000000e-01
7.993097543716430664e+00,-4.788403399288654327e-03,5.937620401382446289e-01,-1.241154098510742188e+01,1.113891601562500000e+00,-4.829406738281250000e+00,3.768920898437500000e+00
8.009119510650634766e+00,-6.009446382522583008e-01,-3.208230137825012207e-01,-1.504995155334472656e+01,4.958343505859375000e+01,-4.829406738281250000e+00,3.768920898437500000e+00
8.024020910263061523e+00,-2.123656988143920898e+00,-1.254561662673950195e+00,-1.873702239990234375e+01,1.000900268554687642e+02,-4.829406738281250000e+00,-5.477905273437500000e+00
8.036040067672729492e+00,-6.009446382522583008e-01,-1.254561662673950195e+00,-1.873702239990234375e+01,1.933517456054687500e+02,1.107025146484375000e+01,-7.118225097656250000e+00
8.048304319381713867e+00,-5.650315880775451660e-01,-7.589619159698486328e-01,-1.623508071899414062e+01,2.436141967773437216e+02,-7.835388183593750000e+00,-2.243804931640625000e+01
8.064185142517089844e+00,-5.506663918495178223e-01,-1.963245421648025235e-01,-1.264856719970703303e+01,2.499923706054687500e+02,-1.068115234375000000e-01,-2.696228027343750000e+01
8.079091310501098633e+00,4.884171485900878906e-01,5.123591423034667969e-01,-7.905653953552246094e+00,2.499923706054687500e+02,-4.119873046875000000e+00,-2.243804931640625000e+01
8.090670824050903320e+00,-5.506663918495178223e-01,5.123591423034667969e-01,-6.761225700378417969e+00,2.126312255859375000e+02,-1.068115234375000000e-01,-2.576446533203125000e+01
