# elapsed time, f1_acc_x, f1_acc_y, f1_acc_z, f1_gyro_x, f1_gyro_y, f1_gyro_z
4.915445256233215332e+01,6.380547523498535156e+00,-8.080430984497070312e+00,-4.070142805576325018e-01,-3.852844238281250000e+00,-1.831054687500000000e-01,8.239746093750000000e-01
4.916990232467651367e+01,6.380547523498535156e+00,-8.034940719604492188e+00,-3.926490843296051025e-01,-3.852844238281250000e+00,-3.814697265625000000e-01,8.239746093750000000e-01
4.918091607093811035e+01,6.378153324127197266e+00,-8.001421928405763495e+00,-3.447650372982025146e-01,-3.852844238281250000e+00,-3.814697265625000000e-01,8.239746093750000000e-01
4.919666075706481934e+01,6.366182327270507812e+00,-8.001421928405763495e+00,-3.926490843296051025e-01,-3.784179687500000000e+00,-3.814697265625000000e-01,9.078979492187500000e-01
4.920849704742431641e+01,6.366182327270507812e+00,-8.022970199584960938e+00,-4.070142805576325018e-01,-4.409790039062500000e+00,-1.983642578125000000e-01,9.078979492187500000e-01
4.922293400764465332e+01,6.332663536071777344e+00,-8.087613105773925781e+00,-4.070142805576325018e-01,-3.707885742187500000e+00,-3.814697265625000000e-01,9.078979492187500000e-01
4.923492479324340820e+01,6.464344501495361328e+00,-8.087613105773925781e+00,-4.070142805576325018e-01,-3.707885742187500000e+00,-3.890991210937500000e-01,9.536743164062500000e-01
4.925046801567077637e+01,6.406883716583252841e+00,-8.075642585754394531e+00,-2.920925915241240900e-01,-3.707885742187500000e+00,-4.348754882812500000e-01,9.002685546875000000e-01
4.926574420928955078e+01,6.406883716583252841e+00,-8.058882713317871094e+00,-4.141968786716461182e-01,-3.715515136718750000e+00,-3.890991210937500000e-01,8.468627929687500000e-01
4.927717256546020508e+01,6.406883716583252841e+00,-8.027758598327638495e+00,-4.141968786716461182e-01,-3.868103027343750000e+00,-4.348754882812500000e-01,8.468627929687500000e-01
4.929237651824951172e+01,6.387730121612548828e+00,-8.027758598327638495e+00,-4.141968786716461182e-01,-4.295349121093750000e+00,-3.890991210937500000e-01,8.468627929687500000e-01
4.930675935745239258e+01,6.382941722869872159e+00,-8.030152320861816406e+00,-3.758896589279174805e-01,-4.295349121093750000e+00,-4.730224609375000000e-01,7.629394531250000000e-01
4.931977200508117676e+01,6.382941722869872159e+00,-8.030152320861816406e+00,-3.758896589279174805e-01,-4.295349121093750000e+00,-4.043579101562500000e-01,7.629394531250000000e-01
4.933390092849731445e+01,6.399701118469237393e+00,-8.020575523376464844e+00,-4.309563040733337402e-01,-4.394531250000000000e+00,-4.043579101562500000e-01,7.019042968750000000e-01
4.934875106811523438e+01,6.399701118469237393e+00,-8.020575523376464844e+00,-4.620809257030487061e-01,-4.394531250000000000e+00,-3.433227539062500000e-01,8.239746093750000000e-01
4.936173725128173828e+01,6.406883716583252841e+00,-8.032546997070312500e+00,-4.620809257030487061e-01,-4.325866699218750000e+00,-2.899169921875000000e-01,8.621215820312500000e-01
4.937401700019836426e+01,6.399701118469237393e+00,-8.032546997070312500e+00,-3.543418347835540771e-01,-4.043579101562500000e+00,-2.899169921875000000e-01,8.621215820312500000e-01
4.939083504676818848e+01,6.406883716583252841e+00,-8.078036308288574219e+00,-3.543418347835540771e-01,-4.325866699218750000e+00,-2.899169921875000000e-01,8.621215820312500000e-01
