# elapsed time, f2_acc_x, f2_acc_y, f2_acc_z, f2_gyro_x, f2_gyro_y, f2_gyro_z
3.251767969131469727e+01,-3.526659011840820312e+00,-8.746018409729003906e+00,2.796427488327026367e+00,3.433227539062500000e-01,4.348754882812500000e-01,-3.204345703125000000e-01
3.252861785888671875e+01,-3.526659011840820312e+00,-8.762778282165527344e+00,2.796427488327026367e+00,3.433227539062500000e-01,1.754760742187500000e-01,-3.204345703125000000e-01
3.254081201553344727e+01,-3.519476413726806197e+00,-8.762778282165527344e+00,2.794033288955688477e+00,5.340576171875000000e-01,1.754760742187500000e-01,-3.509521484375000000e-01
3.255574727058410645e+01,-3.517082214355468750e+00,-8.726864814758299005e+00,2.791639089584350586e+00,5.340576171875000000e-01,1.754760742187500000e-01,-3.662109375000000000e-01
3.256822466850280762e+01,-3.478775024414062500e+00,-8.707711219787597656e+00,2.791639089584350586e+00,3.967285156250000000e-01,7.629394531250000000e-02,-3.662109375000000000e-01
3.258285665512084961e+01,-3.478775024414062500e+00,-8.707711219787597656e+00,2.808398485183715820e+00,3.967285156250000000e-01,7.629394531250000000e-02,-3.204345703125000000e-01
3.259456706047058105e+01,-3.452438831329345703e+00,-8.707711219787597656e+00,2.808398485183715820e+00,3.280639648437500000e-01,7.629394531250000000e-02,-3.204345703125000000e-01
3.260951662063598633e+01,-3.452438831329345703e+00,-8.671798706054687500e+00,2.770091295242309570e+00,3.280639648437500000e-01,7.629394531250000000e-02,-2.059936523437500000e-01
3.262158203125000000e+01,-3.452438831329345703e+00,-8.671798706054687500e+00,2.770091295242309570e+00,3.280639648437500000e-01,2.517700195312500000e-01,-2.441406250000000000e-01
3.263684892654418945e+01,-3.457227230072021040e+00,-8.791508674621582031e+00,2.789244890213012695e+00,3.356933593750000000e-01,2.059936523437500000e-01,-1.602172851562500000e-01
3.265155458450317383e+01,-3.457227230072021040e+00,-8.803479194641113281e+00,2.846705675125122070e+00,4.882812500000000000e-01,2.059936523437500000e-01,-2.365112304687500000e-01
3.266399669647216797e+01,-3.457227230072021040e+00,-8.803479194641113281e+00,2.846705675125122070e+00,3.356933593750000000e-01,2.059936523437500000e-01,-2.365112304687500000e-01
3.267829012870788574e+01,-3.428496837615966797e+00,-8.762778282165527344e+00,2.827552080154418945e+00,4.882812500000000000e-01,1.831054687500000000e-01,-2.365112304687500000e-01
3.269051384925842285e+01,-3.459621429443359819e+00,-8.760383605957031250e+00,2.813186883926392046e+00,3.738403320312500000e-01,3.967285156250000000e-01,-3.280639648437500000e-01
3.270629906654357910e+01,-3.476380825042724609e+00,-8.760383605957031250e+00,2.827552080154418945e+00,3.738403320312500000e-01,3.433227539062500000e-01,-3.280639648437500000e-01
3.271739554405212402e+01,-3.507505416870116743e+00,-8.796297073364257812e+00,2.849099874496459961e+00,3.738403320312500000e-01,3.433227539062500000e-01,-3.280639648437500000e-01
3.273261904716491699e+01,-3.543418407440185103e+00,-8.796297073364257812e+00,2.849099874496459961e+00,4.425048828125000000e-01,1.983642578125000000e-01,-4.119873046875000000e-01
3.274829030036926270e+01,-3.550601005554198775e+00,-8.710105895996093750e+00,2.817975282669067383e+00,4.806518554687500000e-01,6.103515625000000000e-02,-1.983642578125000000e-01
3.275941658020019531e+01,-3.550601005554198775e+00,-8.710105895996093750e+00,2.815581083297729048e+00,4.806518554687500000e-01,6.866455078125000000e-02,-4.119873046875000000e-01
3.277455615997314453e+01,-3.531447410583496094e+00,-8.726864814758299005e+00,2.815581083297729048e+00,5.493164062500000000e-01,6.866455078125000000e-02,-4.501342773437500000e-01
3.278751206398010254e+01,-3.514688014984131303e+00,-8.729259490966798651e+00,2.822763681411743164e+00,6.103515625000000000e-01,6.866455078125000000e-02,-4.501342773437500000e-01
3.280061984062194824e+01,-3.531447410583496094e+00,-8.767566680908201349e+00,2.861070871353149414e+00,6.866455078125000000e-01,8.392333984375000000e-02,-3.433227539062500000e-01
3.281327939033508301e+01,-3.514688014984131303e+00,-8.729259490966798651e+00,2.861070871353149414e+00,6.103515625000000000e-01,8.392333984375000000e-02,-3.433227539062500000e-01
3.283084893226623535e+01,-3.485957622528076172e+00,-8.767566680908201349e+00,2.875436305999756303e+00,4.501342773437500000e-01,8.392333984375000000e-02,-3.356933593750000000e-01
3.284411025047302246e+01,-3.430891036987304688e+00,-8.777143478393554688e+00,2.837128877639770508e+00,4.348754882812500000e-01,2.670288085937500000e-01,-2.975463867187500000e-01
3.285543656349182129e+01,-3.450044631958008257e+00,-8.777143478393554688e+00,2.837128877639770508e+00,3.356933593750000000e-01,-9.155273437500000000e-02,-2.288818359375000000e-01
3.287301659584045410e+01,-3.450044631958008257e+00,-8.693346023559570312e+00,2.837128877639770508e+00,2.975463867187500000e-01,-1.754760742187500000e-01,-2.288818359375000000e-01
3.288425731658935547e+01,-3.450044631958008257e+00,-8.693346023559570312e+00,2.839523077011108398e+00,1.754760742187500000e-01,-1.754760742187500000e-01,-6.256103515625000000e-01
3.289770197868347168e+01,-3.454833030700684038e+00,-8.753201484680175781e+00,2.839523077011108398e+00,1.754760742187500000e-01,-1.754760742187500000e-01,-6.256103515625000000e-01
3.291514492034912109e+01,-3.485957622528076172e+00,-8.853757858276367188e+00,2.789244890213012695e+00,4.577636718750000000e-02,5.111694335937500000e-01,-2.136230468750000000e-01
3.292603898048400879e+01,-3.514688014984131303e+00,-8.825027465820312500e+00,2.779668092727661133e+00,3.890991210937500000e-01,5.340576171875000000e-02,-2.136230468750000000e-01
3.293933606147766113e+01,-3.514688014984131303e+00,-8.825027465820312500e+00,2.789244890213012695e+00,4.806518554687500000e-01,9.918212890625000000e-02,-2.822875976562500000e-01
3.295413208007812500e+01,-3.526659011840820312e+00,-8.729259490966798651e+00,2.712630510330200195e+00,6.408691406250000000e-01,9.918212890625000000e-02,-4.806518554687500000e-01
3.296654105186462402e+01,-3.481169223785400391e+00,-8.729259490966798651e+00,2.777273893356323242e+00,7.095336914062500000e-01,9.918212890625000000e-02,-2.822875976562500000e-01
3.297900128364562988e+01,-3.514688014984131303e+00,-8.710105895996093750e+00,2.762908697128295898e+00,7.095336914062500000e-01,8.392333984375000000e-02,-5.264282226562500000e-01
3.299631190299987793e+01,-3.478775024414062500e+00,-8.779537200927732599e+00,2.762908697128295898e+00,6.790161132812500000e-01,8.392333984375000000e-02,-2.670288085937500000e-01
3.300781464576721191e+01,-3.507505416870116743e+00,-8.659827232360839844e+00,2.731784105300903764e+00,2.365112304687500000e-01,-2.288818359375000000e-02,-7.171630859375000000e-01
3.302087044715881348e+01,-3.404554843902587891e+00,-8.705317497253417969e+00,2.731784105300903764e+00,5.340576171875000000e-01,2.746582031250000000e-01,-2.365112304687500000e-01
3.303483796119689941e+01,-3.462015628814697266e+00,-8.705317497253417969e+00,2.731784105300903764e+00,2.212524414062500000e-01,1.525878906250000000e-01,-3.051757812500000000e-01
3.304829931259155273e+01,-3.462015628814697266e+00,-8.705317497253417969e+00,2.770091295242309570e+00,2.212524414062500000e-01,1.525878906250000000e-01,-2.365112304687500000e-01
3.306250762939453125e+01,-3.524264812469482422e+00,-8.746018409729003906e+00,2.750937700271606445e+00,-1.449584960937500000e-01,1.525878906250000000e-01,-8.392333984375000000e-02
3.307456731796264648e+01,-3.576937198638916016e+00,-8.801085472106933594e+00,2.762908697128295898e+00,-1.449584960937500000e-01,1.525878906250000000e-01,9.918212890625000000e-02
3.308888626098632812e+01,-3.744531393051147905e+00,-8.801085472106933594e+00,2.750937700271606445e+00,-6.866455078125000000e-02,-3.128051757812500000e-01,-8.392333984375000000e-02
3.310103821754455566e+01,-3.744531393051147905e+00,-8.796297073364257812e+00,2.753331899642944336e+00,3.967285156250000000e-01,-3.128051757812500000e-01,-5.187988281250000000e-01
3.311693525314331055e+01,-3.433285236358642578e+00,-8.710105895996093750e+00,2.753331899642944336e+00,1.419067382812500000e+00,1.831054687500000000e-01,-1.274108886718750000e+00
3.312829852104187012e+01,-3.428496837615966797e+00,-8.559270858764646661e+00,2.913743495941162109e+00,1.419067382812500000e+00,5.340576171875000000e-01,-1.327514648437500000e+00
3.314405107498168945e+01,-3.428496837615966797e+00,-8.547300338745117188e+00,2.913743495941162109e+00,-5.340576171875000000e-02,5.340576171875000000e-01,-1.327514648437500000e+00
3.315516090393066406e+01,-3.385401248931884766e+00,-8.547300338745117188e+00,2.908955097198486328e+00,-2.975463867187500000e-01,-3.509521484375000000e-01,-9.307861328125000000e-01
3.317138624191284180e+01,-3.569754600524902344e+00,-8.547300338745117188e+00,2.662352323532104492e+00,-2.975463867187500000e-01,-3.509521484375000000e-01,-1.754760742187500000e-01
3.318516635894775391e+01,-3.409343242645264116e+00,-8.535328865051269531e+00,2.808398485183715820e+00,8.468627929687500000e-01,-2.746582031250000000e-01,-7.781982421875000000e-01
