"[-0.53575205879373, 0.583589658589198, 0.649896944881354]","['-0.5363051451182385', ' 0.5781798871772152', ' 0.6277900848469835']","['-0.5388824159196655', ' 0.5964579871677789', ' 0.6915137785474414']","[-0.42629018410872, 0.46990372624652366, 0.6995297159665316]","[-0.06421692395883083, 0.49424089157442236, -0.23230216622479605]","[-0.9860587710563175, -0.32376139483863753, 0.4612970468391308]","[-1.1716505555741743, 1.0777716213986515, 0.4257879787538785]"
"[-0.53575205879373, 0.583589658589198, 0.649896944881354]","['-0.5363051451182385', ' 0.5781798871772152', ' 0.6277900848469835']","['-0.5388824159196655', ' 0.5964579871677789', ' 0.6915137785474414']","[-0.4267813205120903, 0.47457461093313025, 0.352015712284074]","[-0.44611777621827353, 1.401458222690413, -0.022834753550634967]","[-1.3840346801202503, 0.34918797921257716, 0.09135463328556698]","[-0.7153850401686712, 0.8283612172957084, 1.2417026966548899]"
"[-0.53575205879373, 0.583589658589198, 0.649896944881354]","['-0.5363051451182385', ' 0.5781798871772152', ' 0.6277900848469835']","['-0.5388824159196655', ' 0.5964579871677789', ' 0.6915137785474414']","[-0.277301997802212, 0.34835419035931525, 0.7542987037785857]","[-0.8470808831469507, -0.4455251803748792, 0.5419132839918528]","[-0.6243172773390373, 0.34650842697014433, 1.6921563629814578]","[-1.0222398593606685, 0.9564266678487926, 0.47986210903123205]"
"[-0.53575205879373, 0.583589658589198, 0.649896944881354]","['-0.5363051451182385', ' 0.5781798871772152', ' 0.6277900848469835']","['-0.5388824159196655', ' 0.5964579871677789', ' 0.6915137785474414']","[-0.29023673765835234, 0.37282555029820474, 0.5463555163772327]","[-0.12008964114239923, 1.000888159529015, -0.21297795742290138]","[-0.970120620652708, -0.11014028774860907, -0.005461396125689411]","[-1.003544435073507, 0.9829741864238021, 0.891189926844583]"
"[-0.53575205879373, 0.583589658589198, 0.649896944881354]","['-0.5363051451182385', ' 0.5781798871772152', ' 0.6277900848469835']","['-0.5388824159196655', ' 0.5964579871677789', ' 0.6915137785474414']","[-0.5599606181680208, 0.5558601175821982, 0.317166397607873]","[-0.8791105128319731, 1.488751546317732, 0.1502624523945769]","[-1.5070822137613464, 0.24806638303900075, 0.4078510166824699]","[-0.5267337029223761, 0.7428804351087345, 1.2989603540648949]"
"[-0.53575205879373, 0.583589658589198, 0.649896944881354]","['-0.5363051451182385', ' 0.5781798871772152', ' 0.6277900848469835']","['-0.5388824159196655', ' 0.5964579871677789', ' 0.6915137785474414']","[-0.5721702972937677, 0.5548468684864339, 0.29768477264980453]","[-0.8579851462378851, 1.502578023710695, 0.15585554597089293]","[-1.52615786772168, 0.2874479765571361, 0.4333518212063034]","[-0.48151938669658123, 0.7289258448513886, 1.278235088745633]"
"[0.484821967171613, 0.183265519575167, 0.605907280367975]","['0.49216917984524283', ' 0.1883156674042701', ' 0.5870442609174686']","['0.47674775595000196', ' 0.2068728683014724', ' 0.6455271197389225']","[0.41511430427132207, -0.13584458588064405, 0.6495352796277495]","[1.092289274450745, -0.36815048835193065, -0.04865382615914193]","[-0.2952944260776685, -0.0950351786665762, -0.05306989266090667]","[0.6068263164313152, 0.8359416868973975, 0.5121382475137728]"
"[0.484821967171613, 0.183265519575167, 0.605907280367975]","['0.49216917984524283', ' 0.1883156674042701', ' 0.5870442609174686']","['0.47674775595000196', ' 0.2068728683014724', ' 0.6455271197389225']","[0.5396958951025099, 0.17909704653851177, 0.29641805260101617]","[-0.4140354665483075, 0.4616325681280034, 0.19360672616354901]","[0.25409690428638604, -0.7791169256993891, 0.3125177374698218]","[0.4457293784676514, 0.22381463198559454, 1.290988628931974]"
"[0.484821967171613, 0.183265519575167, 0.605907280367975]","['0.49216917984524283', ' 0.1883156674042701', ' 0.5870442609174686']","['0.47674775595000196', ' 0.2068728683014724', ' 0.6455271197389225']","[0.48247136187142725, 0.05450769841216831, 0.3133156397380973]","[-0.4750091793180562, 0.2997649506109353, 0.16139495817234079]","[0.1976635748883977, -0.8330067764288137, 0.675534608625102]","[0.43647638695760826, 0.4445935058848909, 1.2329446546626106]"
"[0.484821967171613, 0.183265519575167, 0.605907280367975]","['0.49216917984524283', ' 0.1883156674042701', ' 0.5870442609174686']","['0.47674775595000196', ' 0.2068728683014724', ' 0.6455271197389225']","[0.4778248725563019, 0.03273289265318251, 0.279138302399646]","[-0.42031037117806325, 0.4263697537703823, 0.08317119921135235]","[0.03833240971470109, -0.7851771519724533, 0.6504461719714005]","[0.46370187472874813, 0.4523436414076553, 1.186732573239912]"
