real,proxy,dtw
10,10-10,917.2251288816059
10,10-1,554.4270305109039
10,10-1,554.4270305109039
10,10-3,104.58499975082624
10,10-7,280.65313150831753
10,10-9,201.8874826951653
16,16-10,64.53103933722463
16,16-12,205.51523897727202
16,16-2,138.7301618003528
16,16-3,387.52961831138293
16,16-4,437.035432639196
16,16-5,557.4276522834084
16,16-5,557.4276522834084
16,16-7,235.5162667410665
16,16-9,693.3116218385447
30,30-0,3217.4799653009436
30,30-12,2703.2858676528713
30,30-1,4036.2860458346454
30,30-2,4242.415867662232
30,30-5,3245.975781883222
30,30-6,3620.384793109884
30,30-7,2843.121367188095
30,30-8,2884.027377112749
30,30-9,3741.2789911164655
31,31-10,240.84960401589964
31,31-5,65.5113359544805
31,31-6,1011.9919225485978
31,31-7,562.3602272742513
31,31-8,279.8862103197708
43,43-0,240.74667098586454
43,43-10,54.50566157257843
43,43-11,457.5205547884935
43,43-12,187.2958357882152
43,43-12,187.2958357882152
43,43-12,187.2958357882152
43,43-4,200.97861884753493
43,43-4,200.97861884753493
43,43-6,226.92058637862112
43,43-7,322.64991065069427
43,43-9,196.39623267111097
50,50-0,356.78139172477336
50,50-10,555.4449446321372
50,50-10,555.4449446321372
50,50-10,555.4449446321372
50,50-3,373.98291165040615
51,51-10,64.91990961231517
51,51-10,64.91990961231517
51,51-10,64.91990961231517
51,51-10,64.91990961231517
51,51-5,153.66797491164257
51,51-5,153.66797491164257
53,53-7,432.0318628714577
60,60-5,3522.7945483671306
60,60-6,2604.244359943213
60,60-8,3983.9969655348264
64,64-10,71.710627504529
64,64-11,311.45080954763495
64,64-12,342.37378580825805
64,64-12,342.37378580825805
64,64-2,100.05752186850367
64,64-2,100.05752186850367
64,64-4,275.55391139659685
64,64-4,275.55391139659685
64,64-4,275.55391139659685
64,64-7,131.88678071370268
64,64-8,86.49853389181828
64,64-9,636.5185465678263
6,6-1,2769.218362555145
6,6-1,2769.218362555145
6,6-1,2769.218362555145
6,6-1,2769.218362555145
6,6-5,1184.6692119648776
6,6-6,955.87622321861
6,6-6,955.87622321861
70,70-11,59.7395201930419
70,70-12,58.34560767083783
70,70-1,274.1102364946718
70,70-2,281.1075209478682
70,70-3,122.74123123307339
70,70-3,122.74123123307339
70,70-5,124.41163850756757
70,70-5,124.41163850756757
70,70-7,285.2404429853911
70,70-9,73.03444481942896
71,71-10,1269.7152757914225
71,71-11,2049.0159292529065
71,71-11,2049.0159292529065
71,71-11,2049.0159292529065
71,71-11,2049.0159292529065
71,71-4,1034.841096360493
71,71-4,1034.841096360493
71,71-7,388.53103855866675
71,71-8,1003.6304111784175
71,71-9,676.4574958777571
72,72-0,938.6682625353035
72,72-10,797.8262455206836
72,72-11,394.9628228524389
72,72-12,446.35542302971226
72,72-12,446.35542302971226
72,72-2,245.635852003979
72,72-3,857.8863973643274
72,72-4,171.31215883218937
72,72-6,113.00710303403437
72,72-7,861.6420086772843
72,72-8,278.16163605253433
72,72-9,102.96654574046005
73,73-0,83.91177797605833
73,73-10,826.495594672154
73,73-10,826.495594672154
73,73-2,492.690772922704
73,73-3,365.4450868031297
73,73-3,365.4450868031297
73,73-8,563.6537861045249
73,73-9,268.3831319870986
74,74-0,721.3609429730996
74,74-0,721.3609429730996
74,74-12,961.0494377705762
74,74-2,824.0942391187526
74,74-2,824.0942391187526
74,74-2,824.0942391187526
74,74-5,768.1433281375282
74,74-5,768.1433281375282
74,74-5,768.1433281375282
74,74-8,530.7360384146912
74,74-8,530.7360384146912
